obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
79 29D 325 325  512  512 0 0 16 16 0 0 0 0  3  3 2 2 0 0 0 0  4  4  29  29
80 29E  23  23  368  368 0 0  0  0 0 0 0 0  8  8 1 1 0 0 0 0  1  1  11  11
81 29F   9   9   39   39 0 0  2  2 0 0 0 0  3  3 0 0 0 0 0 0  0  0   7   7
82 30  246 245  583  584 1 1  8  8 0 0 0 0  6  6 0 0 0 0 0 0 19 19  45  45
83 30A 222 222  679  683 0 0  9  9 0 0 0 0  5  5 1 1 1 1 0 1 25 20  70  70
84 30B 397 398  906  908 5 5 15 15 0 0 0 0  7  7 0 0 0 0 0 1  9  5  88  88
85 31  519 519  697  697 4 4 28 28 0 0 0 0  7  7 0 0 0 0 0 0  8  7  24  25
86 31A 538 538  598  598 1 1 18 18 1 1 1 1  5  5 1 1 0 0 0 0 16 16  33  33
87 31B 134 133  303  305 0 0  1  1 0 0 0 0  2  2 0 0 0 0 0 0  2  1  12  12
88 31C 211 211  370  372 0 0 12 12 0 0 0 0  3  3 1 0 0 0 0 0  3  3  15  14
89 31D 426 426  480  481 1 1 12 12 0 0 1 1  3  3 0 0 1 1 0 0  8  7  41  41
90 31E 130 130   88   88 1 1  3  3 0 0 0 0  0  0 0 0 0 0 0 0  0  0   4   4
91 31F   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
92 31G   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
93 31H   2   2    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
94 32  529 532  681  680 3 3 20 20 0 0 0 0  8  8 1 1 0 0 2 2  9  7  33  33
95 32A 470 471  576  577 2 2 22 22 0 0 0 0  4  4 0 0 1 1 3 4  8  5  33  33
96 33  291 291   45   45 0 0  2  2 0 0 0 0  1  1 0 0 0 0 0 0  1  1   4   4
97 34  187 187  202  202 1 1  9  9 0 0 0 0  5  5 0 0 0 0 0 0  2  2  15  15
98 35    3   3   16   16 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  10  10
99 36   95  95   46   46 0 0  3  3 0 0 0 0  0  0 0 0 0 0 0 0 11 11  14  14
100 37  325 325  237  238 1 1  3  3 0 0 0 0  4  4 0 0 1 1 1 1 15 14  40  40
101 38   11  11  122  122 0 0  0  0 0 0 0 0  3  3 0 0 0 0 0 0  0  0  23  23
102 38A   1   1    1    1 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
103 39  239 239  267  267 6 6 12 12 0 0 0 0  3  3 1 1 1 1 0 0  2  2  18  18
104 40   58  58  391  391 0 0  7  7 0 0 0 0  2  2 1 1 1 1 0 0  5  5  51  51
105 41  613 613  872  875 3 3 18 18 0 0 2 2 11 11 0 0 3 3 1 1 20 20  74  71
106 41A 345 345  377  378 1 1 10 10 0 0 0 0  5  5 0 0 0 0 0 0  4  4  30  29
107 41B 696 698  847  851 1 1 20 21 0 0 2 2  6  5 0 0 2 3 1 2 24 17  65  64
108 41C 430 431  467  468 0 0  7  7 0 0 0 0  1  1 0 0 0 0 0 0 20 18  23  23
109 41D 480 480  653  653 6 6 20 20 0 0 0 0  2  2 0 0 1 1 0 0 15 15  38  38
110 42  547 547  637  637 2 2 23 23 0 0 1 1  8  9 1 1 0 0 0 0  5  4  39  39
111 42A 400 400  332  332 0 0  5  5 0 0 0 0  4  4 0 0 2 2 0 0  3  3   7   7
112 43   22  22   53   53 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  1  1   7   7
