precinct       vaughan    rossin      lowe
185  -99         -99          -99
186  -99         -99          -99
187  -99         -99          -99
188  -99         -99          -99
189  -99         -99          -99
190  -99         -99          -99
191  -99         -99          -99
193  -99         -99          -99
193A  -99         -99          -99
193B  -99         -99          -99
193C  -99         -99          -99
193D  -99         -99          -99
193E  -99         -99          -99
193F  -99         -99          -99
194  -99         -99          -99
194A  -99         -99          -99
194B  -99         -99          -99
194C  -99         -99          -99
194D  -99         -99          -99
194E  -99         -99          -99
194F  -99         -99          -99
194G  -99         -99          -99
195  -99         -99          -99
196  -99         -99          -99
196A  -99         -99          -99
196B  -99         -99          -99
197  -99         -99          -99
198  -99         -99          -99
198A  -99         -99          -99
199  -99         -99          -99
199A  -99         -99          -99
200  -99         -99          -99
201  -99         -99          -99
201A  -99         -99          -99
202  -99         -99          -99
202A  -99         -99          -99
203  -99         -99          -99
204  -99         -99          -99
205  -99         -99          -99
205A  -99         -99          -99
205B  -99         -99          -99
205C  -99         -99          -99
205D  -99         -99          -99
205E  -99         -99          -99
205F  -99         -99          -99
205G  -99         -99          -99
205H  -99         -99          -99
206  -99         -99          -99
206A  -99         -99          -99
206B  -99         -99          -99
206C  -99         -99          -99
206D  -99         -99          -99
207  -99         -99          -99
207A  -99         -99          -99
208  -99         -99          -99
209  -99         -99          -99
210  -99         -99          -99
211  -99         -99          -99
212  -99         -99          -99
213  -99         -99          -99
213A  -99         -99          -99
214  -99         -99          -99
214A  -99         -99          -99
215  -99         -99          -99
216  -99         -99          -99
217  -99         -99          -99
218  -99         -99          -99
219  -99         -99          -99
219A  -99         -99          -99
219B  -99         -99          -99
219C  -99         -99          -99
219D  -99         -99          -99
219E  -99         -99          -99
220  -99         -99          -99
220A  -99         -99          -99
220B  -99         -99          -99
221  -99         -99          -99
222  -99         -99          -99
223  -99         -99          -99
224  -99         -99          -99
225  -99         -99          -99
226  -99         -99          -99
A001  -99         -99          -99
A002  -99         -99          -99
A003  -99         -99          -99
A004  -99         -99          -99
A005  -99         -99          -99
A006  -99         -99          -99
A007  -99         -99          -99
A008  -99         -99          -99
A009  -99         -99          -99
A010  -99         -99          -99
A011  -99         -99          -99
A012  -99         -99          -99
A013  -99         -99          -99
A014  -99         -99          -99
A015  -99         -99          -99
A016  -99         -99          -99
A017  -99         -99          -99
A018  -99         -99          -99
A019  -99         -99          -99
A020  202       611        18
A021  101        87         4
A022  0         0         0
A023  46        39         1
A024  222       152        12
A025  270       636        23
A026  159       369        14
A027  139       163         5
A028  361       491        22
A029  236       478        28
A030  53       113         7
