precinct         foley     brown   mcguire    writein
A079  -99         -99          -99           -99
A080  -99         -99          -99           -99
A081  -99         -99          -99           -99
A082  -99         -99          -99           -99
A083  -99         -99          -99           -99
A084  -99         -99          -99           -99
A085  -99         -99          -99           -99
A086  -99         -99          -99           -99
A087  -99         -99          -99           -99
A088  -99         -99          -99           -99
A089  -99         -99          -99           -99
A090  -99         -99          -99           -99
A091  -99         -99          -99           -99
A092  -99         -99          -99           -99
A093  -99         -99          -99           -99
A094  -99         -99          -99           -99
A095  -99         -99          -99           -99
A096  -99         -99          -99           -99
A097  -99         -99          -99           -99
A098  -99         -99          -99           -99
A099  -99         -99          -99           -99
A100  -99         -99          -99           -99
A101  1         3         0         0
A102  -99         -99          -99           -99
A103  -99         -99          -99           -99
A104  -99         -99          -99           -99
A105  -99         -99          -99           -99
A106  -99         -99          -99           -99
