precinct      mccollum    nelson simonetta   deckard     logan    martin  mccormick   writein
  154C           108        16         0         0         0         0          0         0
  154D           218     1008         4         2         6         3          1         0
  154E           322     1303        10         6         7         3          1         0
  154F            52       505         4         0         5         0          0         0
  154G           260     2048         4         3         6         7          3         0
  0155           328       453         8         3        13         3          3         0
  155A           395       515         9         3         3         0          6         0
  155B           398       711        17         3         5         2          5         0
  0156           163       307         6         1         4         0          3         0
  156A           176       234         5         0         2         3          1         0
  156B           127       115         0         1         0         0          3         0
  156C            18        40         0         0         0         0          0         0
  0157           117       836         6         4        12         3          8         0
  157A            59       389         5         0         2         1          1         0
  157B           133       656         8         2        10         3          6         0
  0158           112       145         3         1         2         1          3         0
  0159           554       694         6         5        12         5          5         0
  159A           548       704         7         3        16         1         11         0
  159B           477       528         5         8        14         5          3         0
  159C           539       622        10         0        11         1          2         0
  159D           101       111         1         0         2         0          2         0
  159E           638       612         9         0        17         3          6         0
  159F           475       606         5         5         5         0          2         0
  159G            44        23         0         0         1         0          0         0
  159H            10         7         0         0         1         0          0         0
  159I           944       897         9         3        28         3          7         0
  159J           349       426         6         3        10         2          5         0
  159K           392       597        11         3         6         1          8         0
  159L           413       485         7         2        15         2          5         0
  159M             0         0         0         0         0         0          0         0
  159N             0         0         0         0         0         0          0         0
  159O             0         0         0         0         0         0          0         0
  159P           319       325         5         1         3         1          1         0
  159Q           346       452        11         6        13         1          4         0
  0160           205     1032         5         1         3         3          0         0
  0161           383       347         4         3         5         0          4         0
  161A            74        71         0         1         2         0          1         0
  161B             0         0         0         0         0         0          0         0
  0162           277       219         4         0         5         2          2         0
  162A           107     1019         4         1         6         2          1         0
  162B           168     1468         6         2         6         4          3         0
  162C           150       685         2         1         2         3          1         0
  162D            88       618         2         0         1         2          0         0
  162E           251     1223         6         3         3         2          3         0
  162F           290     1006         7         5         6         1          3         0
  162G           194     1604        15         3         4         5          6         0
  162H            19       136         0         0         0         0          0         0
  162I           159        34         2         0         0         0          0         0
  162J           279     1778         8         1         6         3          2         0
  162K           295     1181         3         2         6         2          5         0
  162L            82       512         3         2         0         0          1         0
  0163            73        97         1         1         1         1          0         0
  0164           185       572         9         2         8         1          4         0
  0165            83       237         5         3         0         2          0         0
  0166           377       466         7         1        12         1          4         0
  166A           162       192         5         2         4         0          1         0
  166B            80       373         8         1         4         1          2         0
  166C           176       199         5         0         2         1          0         0
  0167           263        89         1         1         0         0          2         0
  0168            67     1123         8         3         0         3          1         0
  168A            47       780         9         0         0         0          1         0
  168B            34       264         2         0         0         3          1         0
  0169            46       291         6         0         0         1          1         0
  0170           114       272         0         1         5         2          3         0
  0171           498       853        12         5         9         8          7         0
  171A           509     1439        12         6        16         3          1         0
  171B            44       377         1         2         7         1          2         0
  171C            87       384         5         4        16         3          4         0
  171D            28        31         1         0         2         0          0         0
  0172            33       655         5         1        14         0          2         0
  172A             7        16         1         0         0         0          0         0
  172B             5        10         0         0         0         0          1         0
  172C             2         1         0         0         0         0          0         0
  172D             1         0         0         0         0         0          0         0
  0173            15       781         6         3         3         0          0         0
  0174           726       668         9         5        11         3          6         0
  174A           652       931        16         4        13         7          5         0
  174B            58       196         2         1         6         3          2         0
  174C           386       522         3         2         4         1          2         0
  0175            53       843         9         3        10         4          2         0
  175A            13        33         0         0         0         0          0         0
  0176           137       276         3         0         2         0          1         0
  176A           370       794         3         1         7         1          5         0
  176B           293       422         9         4         7         1          1         0
  0177             0         0         0         0         0         0          0         0
  0178           364       500         9         4        13         2          3         0
  178A           137       229         3         0         3         0          2         0
  0179           144       464         6         2         0         0          0         0
  0180            68       922         5         4         1         1          1         0
  0182            28       315         1         1         0         1          0         0
  0183            51       602         3         2         0         0          1         0
  0184            38       361         2         0         1         0          0         0
  0185            69       764         7         2         0         2          3         0
  0186            83       996         6         2         1         4          1         0
  0187            62       898         4         6         0         3          0         0
  0188            48       667         0         1         1         1          0         0
  0189           473       537        10         3        17         1          1         0
  0190           732       495         4         2         2         3          4         0
  0191           764       913        10         3        13         6          5         0
  0193           384       740        11         5        12         7          3         0
  193A           701       966         4         7        12         0          3         0
  193B           578     1131         5         6        13         8          4         0
  193C           277     1429         6         3         1         0          4         0
  193D           508       777        15         3        11         3          7         0
  193E           433       899         3         2         8         1          3         0
  193F           366       658         4         2         9         2          3         0
  0194           619     1106         6         3         9         4          5         0
  194A           334       983         8         2         9         0          7         0
  194B           476     1281         2         1        13         4          3         0
  194C           116       386         1         1         0         1          0         0
  194D           136     1375         4         1         3         4          2         0
  194E           324       806        10         0        14         2          1         0
  194F            48       397         0         2         2         0          0         0
  194G           384       840         3         2         0         6          5         0
  0195           396     1035        13         2         5         8          3         0
  0196           513       558         2         5         4         5          4         0
  196A           279       290         2         2         6         3          2         0
  196B             2         5         0         0         0         0          0         0
  0197           513       471         3         1        11         0          4         0
  0198           337       632        15         0        14         4          3         0
  198A           437       619         5         4        10         4          7         0
  0199           677       547         7         3        10         2          1         0
  199A           114       243         4         0         8         3          4         0
  0200           298       443         7         2         4         2          5         0
  0201           400       513         6         3        11         2          7         0
  201A           219       163         3         0         7         0          1         0
  0202           336       348         6         4         8         0          4         0
  202A           426       410         1         0         4         3          2         0
  0203           123       108         1         0         1         0          0         0
  0204           588       555         8         0         8         0          5         0
  0205           423       689         7         6         8         7          8         0
  205A           423       670         1         3        10         4          3         0
  205B           420     1170         8         4        19         5          4         0
  205C           396     1265         7         0         4         4          4         0
  205D           327       808         7         2         4         1          1         0
  205E           177       411         6         2         7         0          3         0
  205F           711     1160         9         2        18         4          4         0
  205G           671     1375        10         3        21         7          4         0
  205H           426       640         3         4         9         3          1         0
  0206           259     1079        15         1        10         1          3         0
  206A           591       944        11         4        14         4          5         0
  206B           403     1371         7         3         5         5          6         0
  206C           305       871        10         7         5         4          4         0
  206D           337     1055         8         2        11         4          2         0
  0207           144       143         2         1         8         0          1         0
  207A           448       485         2         6        11         2          3         0
  0208           325       346         4         2         5         1          0         0
  0209           404       284         3         1         8         0          1         0
  0210           278       299         4         2         9         2          3         0
  0211           788       636         4         2         9         3          2         0
  0212           491       485         4         5         6         3          1         0
  0213           331       537         5         6        10         0          3         0
  213A            79       173         1         1         1         0          1         0
  0214           671       717         9         0        22         2          6         0
  214A           216       222         3         1         4         0          2         0
  0215           438       401         2         2         6         0          2         0
  0216           742       646         9         3        19         2          8         0
  0217           413       562         5         1         4         1          5         0
  0218           250       701         7         0         3         2          4         0
  0219           324       347         1         0         6         0          1         0
  219A           298       698         1         1         4         1          0         0
  219B           414       742         1         2         5         2          2         0
  219C           628       944         3         2         6         1          2         0
  219D           427       522         5         2         7         0          4         0
  219E           122       318         0         0         3         0          0         0
  0220           341       842         6         0         7         5          4         0
  220A           373       634        14         5         5         7          5         0
  220B           366       781         8         5         4         4          7         0
  0221            68     1068         4         3         1         1          3         0
  0222            96     1106         5         3         4         3          3         0
  0223            77     1163         4         0         2         4          1         0
  0224           433       569         8         3         4         2          4         0
  0225           494       682         9        10         9         3          2         0
  0226           318       552         2         2         5         0          0         0
  A001                12        19         1         0         0         0          0         0
  A002                 0         0         0         0         0         0          0         0
  A003                 0         0         0         0         0         0          0         0
  A004               354       272         1         5         4         2          3         0
  A005               265       218         1         3         4         0          2         0
  A006                29        20         1         0         0         0          0         0
  A007                38        23         1         1         0         0          0         0
  A008               130       132         0         3         1         1          2         0
  A009               155       241         3         0         2         0          0         0
  A010                56        48         1         1         1         0          1         0
  A011                82        84         1         1         2         0          0         0
  A012                74        56         0         1         1         1          0         0
  A013                28        16         0         0         1         0          0         0
  A014                51        83         1         0         0         1          0         0
  A015                12         5         0         0         0         1          0         0
  A016             1409       807        14         8        11         5          4         0
  A017               759       461         6         3         8         1          1         0
  A018               814       630         8         7        13         1          4         0
  A019                20         9         0         0         0         0          1         0
  A020               232       666         7         5         9         0          1         0
  A021               121        83         0         1         2         0          0         0
  A022                 0         0         0         0         0         0          0         0
  A023                56        45         1         0         0         1          0         0
  A024               268       154         2         2         3         0          2         0
  A025               310       677         9         0         3         0          1         0
  A026               196       406         2         1         3         0          0         0
  A027               152       169         3         3         2         0          0         0
  A028               428       511         3         1        12         0          3         0
  A029               282       520         7         4         7         3          2         0
  A030                71       120         0         1         0         1          0         0
  A031               283     1407         7         2         2         0          2         0
  A032               155       136         0         0         2         0          1         0
  A033             1016       883         6         3        12         2          3         0
  A034               401       331         6         2         6         0          2         0
  A035             1351     3150        28        11        31        10         10         0
  A036                 0         0         0         0         0         0          0         0
  A037                55       198         0         0         1         0          0         0
  A038             2062     4347        28        16        25         7          7         0
  A039               314       482         2         2         2         2          0         0
  A040                36        25         1         0         0         0          1         0
  A041               359       325         4         4         6         1          5         0
  A042                49        47         0         1         0         0          0         0
  A043               234       138         2         3         5         2          0         0
  A044                 4         6         0         0         0         0          0         0
  A045                76        94         0         2         3         0          0         0
  A046                69        70         1         0         1         0          0         0
  A047                 0         0         0         0         0         0          0         0
  A048               217       186         3         1         2         1          2         0
  A049                28        31         0         0         0         0          0         0
  A050                78        57         4         0         0         0          0         0
  A051                24        16         1         0         1         0          0         0
  A052                 0         0         0         0         0         0          0         0
  A053               119       144         0         0         3         0          0         0
  A054                61        37         0         2         1         0          1         0
  A055               359       169         2         0         2         2          1         0
  A056               127        33         0         0         2         0          0         0
  A057               291       417         4         1         6         1          1         0
  A058             1449       720         4         6        11         2          5         0
  A059                31        26         0         3         2         0          0         0
  A060                62        69         1         0         1         0          0         0
  A061               262       189         3         1         1         1          1         0
  A062                37        28         0         0         1         0          0         0
  A063                30        33         0         0         0         0          0         0
  A064             1004       551         4         4         6         0          1         0
  A065                31        25         0         0         0         0          0         0
  A066               641       397        12         1         6         2          4         0
  A067                48        41         0         1         0         0          0         0
  A068                47        38         0         0         1         0          0         0
  A069                15        10         0         0         1         0          0         0
  A070               185       184         2         0         7         2          0         0
  A071                11         9         0         0         3         0          0         0
  A072                32        35         1         0         2         0          0         0
  A073                48       150         0         0         0         0          0         0
  A074               165       125         0         0         0         0          1         0
  A075                 5         0         0         0         0         0          0         0
  A076                 2         0         0         0         0         0          0         0
  A077                14         7         0         0         1         0          1         0
  A078               146       675         5         5        48         1          4         0
  A079                 1        10         0         0         1         0          0         0
  A080                15        70         1         0         2         0          1         0
  A081                21        24         0         0         0         0          3         0
  A082                25        13         0         0         0         0          0         0
  A083                14         8         1         0         0         0          0         0
  A084               100       139         2         1         7         0          1         0
  A085                36        42         0         2         0         0          0         0
  A086                17         6         0         1         1         0          0         0
  A087                 5         5         0         0         0         0          0         0
  A088                 1         2         0         0         0         0          0         0
  A089               110        94         3         0         3         0          0         0
  A090                12        13         0         0         0         0          0         0
  A091               141        85         1         1         1         0          0         0
  A092                21        32         0         0         0         0          0         0
  A093                30        40         1         0         1         0          1         0
  A094               166       178         0         4         7         0          2         0
  A095                 5         1         0         0         0         0          0         0
  A096               127        94         0         2         2         1          0         0
  A097                12         7         0         0         1         0          1         0
  A098                15        14         1         0         0         0          0         0
  A099                 4         4         0         0         1         0          0         0
  A100                23        18         0         2         0         0          3         0
  A101                 0         4         0         0         0         0          0         0
  A102                 3         2         0         0         0         0          0         0
  A103                 1         3         0         0         0         0          0         0
  A104                 4         0         0         0         0         0          0         0
  A105                 0	 0	   0	     0	       0	 0	    0	      0
  A106                 7        16         0         0         0         0          0         0
